Country,Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Working,Shipped,Receiving,Fulfilled by,Total Days of Supply (including units from open shipments),Days of Supply at Amazon Fulfillment Network,Alert,Recommended replenishment qty,Recommended ship date,Unit storage size
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Khaki-XL£©,X001X51LZR,AN-4006-Khaki-XL-CD-DE,B0CPPY3SNS,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Navy Blue,X001XFXEHP,AN1004-Long sleeve Navy blue-L,B0CPT2THVW,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Blue-M£©",X001X4VJNR,AN-4006-Light Blue-M-CD-DE,B0CPPZ4DBH,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X4VLOT,AN-113-SX F Navy Blue-S-CD-DE,B0CPQ28BF8,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Amry Green-2XL£©",X001X4VKCH,AN-4006- Amry Green-2XL-CD-DE,B0CPQ2K57C,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Dark Green,X001X51YLX,AN-113-Dark Green-2XL-CD-DE,B0CPQ2SY6P,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Light Gray-M£©",X001X51M7T,AN-4006-Light Gray-M-CD-DE,B0CPQ111DH,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Dark Green,X001XFXEN9,AN1004-Long sleeve Dark green-XXL,B0CPT34DKL,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X4SIPT,AN-113-SX F Navy Blue-2XL-CD-DE,B0CPQ25GR5,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Wine Red,X001X57HMN,AN-113-Wine Red-L-CD-DE,B0CPQ22V6H,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
